pmid,title,journal,publication_year,measure,estimate,ci_low,ci_high,p_operator,p_value,exposure_domains,disease_groups,specific_exposure_candidates,china_or_chinese_population_flag,source_url,doi,extraction_level,needs_manual_check
27738317,The prevalence of EGFR mutation in patients with non-small cell lung cancer: a systematic review and meta-analysis.,Oncotarget,2016,OR,2.7,2.5,2.9,,,lifestyle,chronic_kidney_disease,smoking,yes,https://pubmed.ncbi.nlm.nih.gov/27738317/,10.18632/oncotarget.12587,abstract_machine_extracted,yes
27738317,The prevalence of EGFR mutation in patients with non-small cell lung cancer: a systematic review and meta-analysis.,Oncotarget,2016,OR,3.7,3.4,4.0,,,lifestyle,chronic_kidney_disease,smoking,yes,https://pubmed.ncbi.nlm.nih.gov/27738317/,10.18632/oncotarget.12587,abstract_machine_extracted,yes
27738317,The prevalence of EGFR mutation in patients with non-small cell lung cancer: a systematic review and meta-analysis.,Oncotarget,2016,OR,4.1,3.6,4.8,,,lifestyle,chronic_kidney_disease,smoking,yes,https://pubmed.ncbi.nlm.nih.gov/27738317/,10.18632/oncotarget.12587,abstract_machine_extracted,yes
38945140,"Lowering systolic blood pressure to less than 120 mm Hg versus less than 140 mm Hg in patients with high cardiovascular risk with and without diabetes or previous stroke: an open-label, blinded-outcome, randomised trial.","Lancet (London, England)",2024,HR,0.88,0.78,0.99,=,0.028,baseline_disease,acute_kidney_injury,diabetes,yes,https://pubmed.ncbi.nlm.nih.gov/38945140/,10.1016/S0140-6736(24)01028-6,abstract_machine_extracted,yes
38945140,"Lowering systolic blood pressure to less than 120 mm Hg versus less than 140 mm Hg in patients with high cardiovascular risk with and without diabetes or previous stroke: an open-label, blinded-outcome, randomised trial.","Lancet (London, England)",2024,HR,3.00,1.35,6.68,,,baseline_disease,acute_kidney_injury,diabetes; cardiovascular,yes,https://pubmed.ncbi.nlm.nih.gov/38945140/,10.1016/S0140-6736(24)01028-6,abstract_machine_extracted,yes
29778331,Goal-directed perfusion to reduce acute kidney injury: A randomized trial.,The Journal of thoracic and cardiovascular surgery,2018,RR,0.45,,,=,.01,climate_built_environment,acute_kidney_injury,temperature,no,https://pubmed.ncbi.nlm.nih.gov/29778331/,10.1016/j.jtcvs.2018.04.045,abstract_machine_extracted,yes
29778331,Goal-directed perfusion to reduce acute kidney injury: A randomized trial.,The Journal of thoracic and cardiovascular surgery,2018,RR,1.66,,,=,.528,climate_built_environment,acute_kidney_injury,temperature,no,https://pubmed.ncbi.nlm.nih.gov/29778331/,10.1016/j.jtcvs.2018.04.045,abstract_machine_extracted,yes
37878255,"Per- and Poly-fluoroalkyl Substances (PFAS) Exposure and Risk of Kidney, Liver, and Testicular Cancers: A Systematic Review and Meta-Analysis.",La Medicina del lavoro,2023,RR,1.74,,,=,0.005,environmental_pollution,renal_cancer,PFAS,no,https://pubmed.ncbi.nlm.nih.gov/37878255/,10.23749/mdl.v114i5.15065,abstract_machine_extracted,yes
37878255,"Per- and Poly-fluoroalkyl Substances (PFAS) Exposure and Risk of Kidney, Liver, and Testicular Cancers: A Systematic Review and Meta-Analysis.",La Medicina del lavoro,2023,RR,2.22,,,=,0.057,environmental_pollution,renal_cancer,PFAS,no,https://pubmed.ncbi.nlm.nih.gov/37878255/,10.23749/mdl.v114i5.15065,abstract_machine_extracted,yes
38509341,Effectiveness and safety of empagliflozin: final results from the EMPRISE study.,Diabetologia,2024,HR,0.88,0.81,0.96,,,baseline_disease,bladder_cancer,cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38509341/,10.1007/s00125-024-06126-3,abstract_machine_extracted,yes
38509341,Effectiveness and safety of empagliflozin: final results from the EMPRISE study.,Diabetologia,2024,HR,0.50,0.44,0.56,,,baseline_disease,bladder_cancer,cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38509341/,10.1007/s00125-024-06126-3,abstract_machine_extracted,yes
38509341,Effectiveness and safety of empagliflozin: final results from the EMPRISE study.,Diabetologia,2024,HR,0.73,0.62,0.86,,,baseline_disease,bladder_cancer,cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38509341/,10.1007/s00125-024-06126-3,abstract_machine_extracted,yes
38509341,Effectiveness and safety of empagliflozin: final results from the EMPRISE study.,Diabetologia,2024,HR,0.57,0.47,0.69,,,baseline_disease,bladder_cancer,cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38509341/,10.1007/s00125-024-06126-3,abstract_machine_extracted,yes
38509341,Effectiveness and safety of empagliflozin: final results from the EMPRISE study.,Diabetologia,2024,HR,1.78,1.44,2.19,,,baseline_disease,bladder_cancer,cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38509341/,10.1007/s00125-024-06126-3,abstract_machine_extracted,yes
38509341,Effectiveness and safety of empagliflozin: final results from the EMPRISE study.,Diabetologia,2024,HR,0.62,0.54,0.72,,,baseline_disease,bladder_cancer,cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38509341/,10.1007/s00125-024-06126-3,abstract_machine_extracted,yes
38509341,Effectiveness and safety of empagliflozin: final results from the EMPRISE study.,Diabetologia,2024,HR,0.75,0.67,0.84,,,baseline_disease,bladder_cancer,cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38509341/,10.1007/s00125-024-06126-3,abstract_machine_extracted,yes
38509341,Effectiveness and safety of empagliflozin: final results from the EMPRISE study.,Diabetologia,2024,HR,0.78,0.63,0.96,,,baseline_disease,bladder_cancer,cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38509341/,10.1007/s00125-024-06126-3,abstract_machine_extracted,yes
38530620,Sodium-glucose cotransporter 2 inhibitors and cancer: a systematic review and meta-analysis.,Journal of endocrinological investigation,2024,RR,1.01,,,=,0.82,baseline_disease,bladder_cancer,diabetes; diabetes mellitus; cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38530620/,10.1007/s40618-024-02351-0,abstract_machine_extracted,yes
38530620,Sodium-glucose cotransporter 2 inhibitors and cancer: a systematic review and meta-analysis.,Journal of endocrinological investigation,2024,RR,1.29,,,=,0.04,baseline_disease,bladder_cancer,diabetes; diabetes mellitus; cardiovascular,no,https://pubmed.ncbi.nlm.nih.gov/38530620/,10.1007/s40618-024-02351-0,abstract_machine_extracted,yes
38530620,Sodium-glucose cotransporter 2 inhibitors and cancer: a systematic review and meta-analysis.,Journal of endocrinological investigation,2024,RR,0.53,,,=,0.003,baseline_disease,bladder_cancer,,no,https://pubmed.ncbi.nlm.nih.gov/38530620/,10.1007/s40618-024-02351-0,abstract_machine_extracted,yes
38530620,Sodium-glucose cotransporter 2 inhibitors and cancer: a systematic review and meta-analysis.,Journal of endocrinological investigation,2024,RR,0.74,,,=,0.05,baseline_disease,bladder_cancer,,no,https://pubmed.ncbi.nlm.nih.gov/38530620/,10.1007/s40618-024-02351-0,abstract_machine_extracted,yes
38530620,Sodium-glucose cotransporter 2 inhibitors and cancer: a systematic review and meta-analysis.,Journal of endocrinological investigation,2024,RR,1.39,,,=,0.03,baseline_disease,bladder_cancer,,no,https://pubmed.ncbi.nlm.nih.gov/38530620/,10.1007/s40618-024-02351-0,abstract_machine_extracted,yes
39863114,"Whole cranberry fruit powder supplement reduces the incidence of culture-confirmed urinary tract infections in females with a history of recurrent urinary tract infection: A 6-month multicenter, randomized, double-blind, placebo-controlled trial.",The American journal of clinical nutrition,2025,RR,0.48,,,=,0.01,lifestyle,urinary_tract_infection,,no,https://pubmed.ncbi.nlm.nih.gov/39863114/,10.1016/j.ajcnut.2025.01.022,abstract_machine_extracted,yes
39863114,"Whole cranberry fruit powder supplement reduces the incidence of culture-confirmed urinary tract infections in females with a history of recurrent urinary tract infection: A 6-month multicenter, randomized, double-blind, placebo-controlled trial.",The American journal of clinical nutrition,2025,RR,0.49,,,=,0.05,lifestyle,urinary_tract_infection,,no,https://pubmed.ncbi.nlm.nih.gov/39863114/,10.1016/j.ajcnut.2025.01.022,abstract_machine_extracted,yes
39863114,"Whole cranberry fruit powder supplement reduces the incidence of culture-confirmed urinary tract infections in females with a history of recurrent urinary tract infection: A 6-month multicenter, randomized, double-blind, placebo-controlled trial.",The American journal of clinical nutrition,2025,RR,0.29,,,<,0.01,lifestyle,urinary_tract_infection,,no,https://pubmed.ncbi.nlm.nih.gov/39863114/,10.1016/j.ajcnut.2025.01.022,abstract_machine_extracted,yes
39863114,"Whole cranberry fruit powder supplement reduces the incidence of culture-confirmed urinary tract infections in females with a history of recurrent urinary tract infection: A 6-month multicenter, randomized, double-blind, placebo-controlled trial.",The American journal of clinical nutrition,2025,HR,0.36,,,=,0.01,lifestyle,urinary_tract_infection,,no,https://pubmed.ncbi.nlm.nih.gov/39863114/,10.1016/j.ajcnut.2025.01.022,abstract_machine_extracted,yes
39863114,"Whole cranberry fruit powder supplement reduces the incidence of culture-confirmed urinary tract infections in females with a history of recurrent urinary tract infection: A 6-month multicenter, randomized, double-blind, placebo-controlled trial.",The American journal of clinical nutrition,2025,IRR,0.41,,,=,0.01,lifestyle,urinary_tract_infection,,no,https://pubmed.ncbi.nlm.nih.gov/39863114/,10.1016/j.ajcnut.2025.01.022,abstract_machine_extracted,yes
40450141,"Sasanlimab plus BCG in BCG-naive, high-risk non-muscle invasive bladder cancer: the randomized phase 3 CREST trial.",Nature medicine,2025,HR,0.68,0.49,0.94,=,0.0095,climate_built_environment,bladder_cancer,,no,https://pubmed.ncbi.nlm.nih.gov/40450141/,10.1038/s41591-025-03738-z,abstract_machine_extracted,yes
40839273,GLP-1 Receptor Agonists and Cancer Risk in Adults With Obesity.,JAMA oncology,2025,HR,0.83,0.76,0.91,=,.002,lifestyle; baseline_disease,renal_cancer,GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/40839273/,10.1001/jamaoncol.2025.2681,abstract_machine_extracted,yes
40839273,GLP-1 Receptor Agonists and Cancer Risk in Adults With Obesity.,JAMA oncology,2025,HR,0.75,0.57,0.99,=,.05,lifestyle; baseline_disease,renal_cancer,GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/40839273/,10.1001/jamaoncol.2025.2681,abstract_machine_extracted,yes
40839273,GLP-1 Receptor Agonists and Cancer Risk in Adults With Obesity.,JAMA oncology,2025,HR,0.53,0.29,0.96,=,.04,lifestyle; baseline_disease,renal_cancer,obesity; GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/40839273/,10.1001/jamaoncol.2025.2681,abstract_machine_extracted,yes
40839273,GLP-1 Receptor Agonists and Cancer Risk in Adults With Obesity.,JAMA oncology,2025,HR,0.69,0.48,0.97,=,.05,lifestyle; baseline_disease,renal_cancer,obesity; GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/40839273/,10.1001/jamaoncol.2025.2681,abstract_machine_extracted,yes
40839273,GLP-1 Receptor Agonists and Cancer Risk in Adults With Obesity.,JAMA oncology,2025,HR,1.38,0.99,1.93,=,.04,lifestyle; baseline_disease,renal_cancer,obesity; GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/40839273/,10.1001/jamaoncol.2025.2681,abstract_machine_extracted,yes
41359966,Risk for Cancer With Glucagon-Like Peptide-1 Receptor Agonists and Dual Agonists : A Systematic Review and Meta-analysis.,Annals of internal medicine,2026,OR,1.37,0.82,2.31,,,baseline_disease,renal_cancer,GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/41359966/,10.7326/ANNALS-25-02237,abstract_machine_extracted,yes
41359966,Risk for Cancer With Glucagon-Like Peptide-1 Receptor Agonists and Dual Agonists : A Systematic Review and Meta-analysis.,Annals of internal medicine,2026,OR,0.84,0.53,1.35,,,baseline_disease,renal_cancer,GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/41359966/,10.7326/ANNALS-25-02237,abstract_machine_extracted,yes
41359966,Risk for Cancer With Glucagon-Like Peptide-1 Receptor Agonists and Dual Agonists : A Systematic Review and Meta-analysis.,Annals of internal medicine,2026,OR,0.95,0.60,1.49,,,baseline_disease,renal_cancer,GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/41359966/,10.7326/ANNALS-25-02237,abstract_machine_extracted,yes
41359966,Risk for Cancer With Glucagon-Like Peptide-1 Receptor Agonists and Dual Agonists : A Systematic Review and Meta-analysis.,Annals of internal medicine,2026,OR,1.12,0.78,1.60,,,baseline_disease,renal_cancer,GLP-1,no,https://pubmed.ncbi.nlm.nih.gov/41359966/,10.7326/ANNALS-25-02237,abstract_machine_extracted,yes
